protein_id	source	ncbi_taxid	genus	species	strain_or_gene	assembly	description	source_accession
Obelisk_000239_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_000239_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158634
Obelisk_000239_000001_000002_2	OBELISK	32644	NA	NA	.	Obelisk_000239_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158634
Obelisk_000239_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_000239_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158639
Obelisk_000239_000001_000003_2	OBELISK	32644	NA	NA	.	Obelisk_000239_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158639
Obelisk_000239_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_000239_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158629
Obelisk_000239_000001_000004_2	OBELISK	32644	NA	NA	.	Obelisk_000239_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158629
Obelisk_000239_000001_000005_1	OBELISK	32644	NA	NA	.	Obelisk_000239_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158638
Obelisk_000239_000001_000005_2	OBELISK	32644	NA	NA	.	Obelisk_000239_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158638
Obelisk_000240_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000240_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Anas sp. | notes=.	SRR7239368
Obelisk_000240_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000240_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Anas sp. | notes=.	SRR7239368
Obelisk_000241_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000241_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980219
Obelisk_000241_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_000241_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980221
Obelisk_000241_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_000241_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980222
Obelisk_000241_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_000241_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980223
Obelisk_000241_000001_000005_1	OBELISK	32644	NA	NA	.	Obelisk_000241_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980224
Obelisk_000241_000001_000006_1	OBELISK	32644	NA	NA	.	Obelisk_000241_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416055
Obelisk_000241_000001_000007_1	OBELISK	32644	NA	NA	.	Obelisk_000241_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416068
Obelisk_000242_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000242_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR6337268
